date, pm25, pm10
2019/4/22, 130, 
2019/4/23, 109, 
2019/4/24, 114, 
2019/4/25, 103, 
2019/4/26, 101, 
2019/4/27, 121, 
2019/4/28, 106, 
2019/4/29, 109, 
2019/4/30, 102, 
2019/5/1, 82, 
2019/5/2, 68, 
2019/5/3, 73, 
2019/5/4, 59, 
2019/5/5, 48, 
2019/5/6, 60, 
2019/5/7, 69, 
2019/5/8, 70, 
2019/5/9, 67, 
2019/5/10, 54, 
2019/5/11, 49, 
2019/5/12, 53, 
2019/6/8, 1, 1
2019/6/9, 1, 1
2019/6/10, 1, 1
2019/6/11, 1, 1
2019/6/12, 1, 1
2019/6/13, 1, 1
2019/6/14, 1, 1
2019/6/15, 1, 1
2019/6/16, 1, 1
2019/6/17, 1, 1
2019/6/18, 2, 1
2019/6/19, 1, 1
2019/6/20, 1, 1
2019/6/21, 1, 3
2019/6/22, 16, 4
2019/6/23, 17, 8
2019/6/24, 24, 7
2019/6/25, 25, 9
2019/6/26, 32, 7
2019/6/27, 25, 9
2019/6/28, 33, 9
2019/6/29, 35, 10
2019/6/30, 36, 9
2019/2/6, 134, 
2019/2/7, 93, 
2019/2/8, 63, 
2019/2/9, 36, 
2019/2/10, 66, 
2019/2/11, 83, 
2019/2/12, 106, 
2019/2/13, 108, 
2019/2/14, 121, 
2019/2/15, 123, 
2019/2/16, 67, 
2019/2/17, 64, 
2019/2/18, 88, 
2019/2/19, 105, 
2019/2/20, 107, 
2019/2/21, 110, 
2019/2/22, 84, 
2019/2/23, 82, 
2019/2/24, 85, 
2019/2/25, 60, 
2019/2/26, 74, 
2019/2/27, 65, 
2019/2/28, 50, 
2019/3/1, 67, 
2019/3/2, 89, 
2019/3/3, 109, 
2019/3/4, 98, 
2019/3/5, 97, 
2019/3/6, 80, 
2019/3/7, 109, 
2019/3/8, 127, 
2019/3/9, 116, 
2019/3/10, 101, 
2019/3/11, 104, 
2019/3/12, 94, 
2019/3/13, 90, 
2019/3/14, 89, 
2019/3/15, 80, 
2019/3/16, 76, 
2019/3/17, 125, 
2019/3/18, 105, 
2019/3/19, 112, 
2019/3/20, 99, 
2019/3/21, 70, 
2019/3/22, 80, 
2019/3/23, 109, 
2019/3/24, 162, 
2019/3/25, 167, 
2019/3/26, 73, 
2019/3/27, 56, 
2019/3/28, 89, 
2019/3/29, 133, 
2019/3/30, 145, 
2019/3/31, 116, 
2018/10/1, 89, 39
2018/10/2, 87, 33
2018/10/3, 87, 31
2018/10/4, 84, 30
2018/10/5, 81, 26
2018/10/6, 75, 30
2018/10/7, 79, 28
2018/10/8, 74, 33
2018/10/9, 84, 39
2018/10/10, 94, 35
2018/10/11, 87, 24
2018/10/12, 69, 22
2018/10/13, 58, 22
2018/10/14, 62, 30
2018/10/15, 76, 37
2018/10/16, 94, 45
2018/10/17, 116, 
2018/10/21, 90, 38
2018/10/22, 84, 37
2018/10/23, 84, 37
2018/10/24, 84, 38
2018/10/25, 89, 28
2018/10/26, 65, 27
2018/10/27, 63, 24
2018/10/28, 59, 30
2018/10/29, 67, 35
2018/10/30, 68, 37
2018/10/31, 59, 34
2018/11/1, 60, 31
2018/11/2, 51, 51
2018/11/3, 82, 58
2018/11/4, 98, 40
2018/11/5, 81, 38
2018/11/6, 81, 45
2018/11/7, 102, 40
2018/11/8, 95, 35
2018/11/9, 88, 31
2018/11/10, 77, 32
2018/11/11, 81, 48
2018/11/12, 110, 48
2018/11/13, 110, 50
2018/11/14, 99, 47
2018/11/15, 113, 44
2018/11/16, 106, 49
2018/11/17, 129, 59
2018/11/18, 149, 65
2018/11/19, 157, 63
2018/11/20, 155, 49
2018/11/21, 124, 47
2018/11/22, 107, 44
2018/11/23, 108, 35
2018/11/24, 78, 45
2018/11/25, 101, 55
2018/11/26, 108, 57
2018/11/27, 108, 53
2018/11/28, 104, 53
2018/11/29, 107, 46
2018/11/30, 102, 50
2018/12/1, 109, 48
2018/12/2, 117, 53
2018/12/3, 128, 51
2018/12/4, 129, 50
2018/12/5, 127, 45
2018/12/6, 106, 44
2018/12/7, 109, 43
2018/12/8, 101, 40
2018/12/9, 97, 33
2018/12/10, 86, 
2018/12/13, 82, 26
2018/12/14, 76, 22
2018/12/15, 66, 25
2018/12/16, 67, 34
2018/12/17, 89, 29
2018/12/18, 82, 41
2018/12/19, 113, 42
2018/12/20, 115, 
2018/8/20, 21, 6
2018/8/21, 24, 13
2018/8/22, 41, 8
2018/8/23, 26, 7
2018/8/24, 29, 9
2018/8/25, 36, 7
2018/8/26, 25, 6
2018/8/27, 24, 6
2018/8/28, 21, 9
2018/8/29, 30, 10
2018/8/30, 37, 7
2018/8/31, 25, 9
2018/9/1, 33, 9
2018/9/2, 33, 15
2018/9/3, 46, 12
2018/9/4, 42, 14
2018/9/5, 48, 14
2018/9/6, 46, 7
2018/9/7, 23, 11
2018/9/8, 36, 15
2018/9/9, 51, 12
2018/9/10, 44, 16
2018/9/11, 50, 12
2018/9/12, 41, 14
2018/9/13, 48, 14
2018/9/14, 51, 21
2018/9/15, 61, 26
2018/9/16, 73, 21
2018/9/17, 62, 23
2018/9/18, 63, 22
2018/9/19, 65, 22
2018/9/20, 61, 10
2018/9/21, 37, 10
2018/9/22, 34, 16
2018/9/23, 47, 27
2018/9/24, 64, 36
2018/9/25, 83, 27
2018/9/26, 74, 26
2018/9/27, 70, 35
2018/9/28, 83, 30
2018/9/29, 76, 34
2018/9/30, 85, 35
2017/4/9, 85, 74
2017/4/10, 121, 94
2017/4/11, 161, 101
2017/4/12, 165, 
2017/4/19, 114, 32
2017/4/20, 85, 38
2017/4/21, 93, 44
2017/4/22, 112, 21
2017/4/23, 60, 48
2017/4/24, 94, 57
2017/4/25, 89, 68
2017/4/26, 92, 72
2017/4/27, 106, 66
2017/4/28, 110, 57
2017/4/29, 137, 
2017/4/30, 105, 25
2017/5/1, 83, 37
2017/5/2, 69, 39
2017/5/3, 82, 69
2017/5/4, 97, 
2017/5/9, 67, 27
2017/5/10, 67, 32
2017/5/11, 77, 37
2017/5/12, 86, 32
2017/5/13, 74, 26
2017/5/14, 67, 26
2017/5/15, 70, 29
2017/5/16, 74, 28
2017/5/17, 74, 39
2017/5/18, 89, 42
2017/5/19, 79, 47
2017/5/20, 89, 49
2017/5/21, 97, 53
2017/5/22, 92, 58
2017/5/23, 94, 56
2017/5/24, 95, 51
2017/5/25, 90, 46
2017/5/26, 101, 
2017/6/1, 87, 
2017/6/2, 76, 
2017/1/2, 45, 17
2017/1/3, 47, 20
2017/1/4, 51, 21
2017/1/5, 61, 24
2017/1/6, 67, 32
2017/1/7, 76, 42
2017/1/8, 88, 41
2017/1/9, 88, 43
2017/1/10, 101, 42
2017/1/11, 107, 48
2017/1/12, 124, 48
2017/1/13, 122, 53
2017/1/14, 129, 53
2017/1/15, 119, 51
2017/1/16, 104, 47
2017/1/17, 92, 47
2017/1/18, 92, 42
2017/1/19, 74, 40
2017/1/20, 68, 48
2017/1/21, 86, 59
2017/1/22, 125, 53
2017/1/23, 114, 52
2017/1/24, 121, 52
2017/1/25, 106, 56
2017/1/26, 105, 35
2017/1/27, 85, 23
2017/1/28, 53, 25
2017/1/29, 60, 51
2017/1/30, 116, 46
2017/1/31, 104, 61
2017/2/1, 148, 63
2017/2/2, 147, 55
2017/2/3, 130, 60
2017/2/4, 126, 70
2017/2/5, 133, 78
2017/2/6, 116, 57
2017/2/7, 116, 69
2017/2/8, 117, 75
2017/2/9, 115, 53
2017/2/10, 101, 57
2017/2/11, 106, 65
2017/2/12, 129, 69
2017/2/13, 124, 56
2017/2/14, 120, 66
2017/2/15, 146, 70
2017/2/16, 142, 72
2017/2/17, 152, 74
2017/2/18, 154, 73
2017/2/19, 154, 87
2017/2/20, 149, 76
2017/2/21, 118, 117
2017/2/22, 106, 87
2017/2/23, 136, 68
2017/2/24, 114, 69
2017/2/25, 159, 
2016/12/6, 82, 36
2016/12/7, 69, 52
2016/12/8, 62, 41
2016/12/9, 67, 44
2016/12/10, 73, 49
2016/12/11, 87, 48
2016/12/12, 87, 
2016/12/14, 121, 42
2016/12/15, 93, 42
2016/12/16, 86, 50
2016/12/17, 92, 39
2016/12/18, 80, 
2016/12/21, 105, 46
2016/12/22, 99, 45
2016/12/23, 96, 35
2016/12/24, 76, 32
2016/12/25, 79, 43
2016/12/26, 99, 51
2016/12/27, 107, 49
2016/12/28, 117, 49
2016/12/29, 111, 49
2016/12/30, 110, 41
2016/12/31, 94, 26
2017/1/1, 75, 18
2023/2/7, , 107
2023/2/11, , 93
2022/5/4, , 21
2021/10/29, , 31
2021/7/19, , 18
2021/9/4, , 9
2021/9/5, , 6
2021/9/6, , 6
2021/9/28, , 23
2021/5/12, , 24
2021/5/13, , 36
2021/5/20, , 21
2021/5/27, , 61
2021/5/29, , 29
2021/6/4, , 60
2021/6/6, , 55
2021/6/10, , 22
2021/1/7, , 18
2021/1/19, , 37
2021/3/3, , 98
2021/3/9, , 84
2021/3/19, , 143
2021/3/30, , 150
2020/10/2, , 48
2020/10/7, , 51
2020/10/8, , 52
2020/10/9, , 48
2020/10/10, , 44
2020/10/11, , 29
2020/10/25, , 18
2020/11/15, , 19
2020/12/25, , 34
2020/12/29, , 31
2020/7/6, , 10
2020/8/13, , 7
2020/9/16, , 19
2020/4/29, , 18
2020/5/5, , 12
2020/5/26, , 19
2020/6/22, , 18
2019/12/31, , 24
2020/1/2, , 10
2019/11/11, , 815
2019/12/13, , 19
2019/7/4, , 60
2019/6/7, , 1
2018/10/20, , 39
2018/12/12, , 31
2018/8/19, , 7
2017/4/8, , 64
2017/4/13, , 95
2017/4/14, , 46
2017/4/15, , 55
2017/4/16, , 59
2017/4/17, , 55
2017/4/18, , 50
2017/5/8, , 22
2017/5/31, , 81
2016/12/5, , 44
2016/12/13, , 69
2016/12/20, , 53
